,velocidad_actual,flujo_libre,congestion,confianza,zona,lat,lon,timestamp,distancia_ruta,duracion_ruta,demora_ruta,error
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:12:20,9914,1150,421,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:12:20,9914,1150,421,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:12:21,9914,1150,421,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:12:21,9914,1150,421,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:12:21,9914,1150,421,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:12:21,9914,1150,421,
6,51.0,60.0,0.15,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:12:22,9914,1150,421,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:12:22,9914,1150,421,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:12:22,9914,1150,421,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:12:22,9914,1150,421,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:12:23,9914,1150,421,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:13:23,9914,1169,440,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:13:24,9914,1169,440,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:13:24,9914,1169,440,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:13:24,9914,1169,440,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:13:25,9914,1169,440,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:13:25,9914,1169,440,
6,52.0,60.0,0.13,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:13:25,9914,1169,440,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:13:25,9914,1169,440,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:13:26,9914,1169,440,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:13:26,9914,1169,440,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:13:26,9914,1169,440,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:14:27,9914,1239,510,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:14:27,9914,1239,510,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:14:28,9914,1239,510,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:14:28,9914,1239,510,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:14:28,9914,1239,510,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:14:28,9914,1239,510,
6,52.0,60.0,0.13,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:14:29,9914,1239,510,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:14:29,9914,1239,510,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:14:29,9914,1239,510,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:14:29,9914,1239,510,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:14:30,9914,1239,510,
0,48.0,57.0,0.16,0.995797,Start,3.260345,-76.558729,2025-09-28 17:15:31,9914,1229,500,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:15:31,9914,1229,500,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:15:31,9914,1229,500,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:15:31,9914,1229,500,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:15:32,9914,1229,500,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:15:32,9914,1229,500,
6,51.0,60.0,0.15,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:15:32,9914,1229,500,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:15:32,9914,1229,500,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:15:33,9914,1229,500,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:15:33,9914,1229,500,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:15:33,9914,1229,500,
0,48.0,57.0,0.16,0.998684,Start,3.260345,-76.558729,2025-09-28 17:16:34,9914,1226,498,
1,16.0,32.0,0.5,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:16:34,9914,1226,498,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:16:35,9914,1226,498,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:16:35,9914,1226,498,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:16:35,9914,1226,498,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:16:35,9914,1226,498,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:16:36,9914,1226,498,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:16:36,9914,1226,498,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:16:36,9914,1226,498,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:16:36,9914,1226,498,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:16:37,9914,1226,498,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:17:38,9914,1361,632,
1,16.0,32.0,0.5,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:17:38,9914,1361,632,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:17:38,9914,1361,632,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:17:38,9914,1361,632,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:17:39,9914,1361,632,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:17:39,9914,1361,632,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:17:39,9914,1361,632,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:17:40,9914,1361,632,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:17:40,9914,1361,632,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:17:40,9914,1361,632,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:17:40,9914,1361,632,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:18:41,9914,1307,578,
1,24.0,31.0,0.23,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:18:41,9914,1307,578,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:18:42,9914,1307,578,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:18:42,9914,1307,578,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:18:42,9914,1307,578,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:18:42,9914,1307,578,
6,51.0,60.0,0.15,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:18:43,9914,1307,578,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:18:43,9914,1307,578,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:18:43,9914,1307,578,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:18:44,9914,1307,578,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:18:44,9914,1307,578,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:19:45,9914,1299,570,
1,24.0,31.0,0.23,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:19:45,9914,1299,570,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:19:45,9914,1299,570,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:19:46,9914,1299,570,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:19:46,9914,1299,570,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:19:46,9914,1299,570,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:19:46,9914,1299,570,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:19:47,9914,1299,570,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:19:47,9914,1299,570,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:19:47,9914,1299,570,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:19:47,9914,1299,570,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:20:48,9914,1179,450,
1,24.0,31.0,0.23,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:20:49,9914,1179,450,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:20:49,9914,1179,450,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:20:49,9914,1179,450,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:20:49,9914,1179,450,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:20:50,9914,1179,450,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:20:50,9914,1179,450,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:20:50,9914,1179,450,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:20:51,9914,1179,450,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:20:51,9914,1179,450,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:20:51,9914,1179,450,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:21:52,9914,1230,502,
1,25.0,31.0,0.19,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:21:52,9914,1230,502,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:21:53,9914,1230,502,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:21:53,9914,1230,502,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:21:53,9914,1230,502,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:21:53,9914,1230,502,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:21:54,9914,1230,502,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:21:54,9914,1230,502,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:21:54,9914,1230,502,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:21:54,9914,1230,502,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:21:55,9914,1230,502,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:22:56,9914,1237,508,
1,25.0,31.0,0.19,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:22:56,9914,1237,508,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:22:56,9914,1237,508,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:22:57,9914,1237,508,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:22:57,9914,1237,508,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:22:57,9914,1237,508,
6,48.0,59.0,0.19,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:22:57,9914,1237,508,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:22:58,9914,1237,508,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:22:58,9914,1237,508,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:22:58,9914,1237,508,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:22:58,9914,1237,508,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:23:59,9914,1249,520,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:24:00,9914,1249,520,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:24:00,9914,1249,520,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:24:00,9914,1249,520,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:24:00,9914,1249,520,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:24:01,9914,1249,520,
6,49.0,60.0,0.18,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:24:01,9914,1249,520,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:24:01,9914,1249,520,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:24:01,9914,1249,520,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:24:02,9914,1249,520,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:24:02,9914,1249,520,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:25:03,9914,1237,508,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:25:03,9914,1237,508,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:25:03,9914,1237,508,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:25:04,9914,1237,508,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:25:04,9914,1237,508,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:25:04,9914,1237,508,
6,48.0,59.0,0.19,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:25:04,9914,1237,508,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:25:05,9914,1237,508,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:25:05,9914,1237,508,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:25:05,9914,1237,508,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:25:05,9914,1237,508,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:26:07,9914,1220,492,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:26:07,9914,1220,492,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:26:07,9914,1220,492,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:26:07,9914,1220,492,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:26:08,9914,1220,492,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:26:08,9914,1220,492,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:26:08,9914,1220,492,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:26:08,9914,1220,492,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:26:09,9914,1220,492,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:26:09,9914,1220,492,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:26:09,9914,1220,492,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:27:10,9914,1239,511,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:27:10,9914,1239,511,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:27:11,9914,1239,511,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:27:11,9914,1239,511,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:27:11,9914,1239,511,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:27:11,9914,1239,511,
6,51.0,60.0,0.15,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:27:12,9914,1239,511,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:27:12,9914,1239,511,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:27:12,9914,1239,511,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:27:12,9914,1239,511,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:27:13,9914,1239,511,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:28:14,9914,1235,506,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:28:14,9914,1235,506,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:28:14,9914,1235,506,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:28:14,9914,1235,506,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:28:15,9914,1235,506,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:28:15,9914,1235,506,
6,50.0,59.0,0.15,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:28:15,9914,1235,506,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:28:15,9914,1235,506,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:28:16,9914,1235,506,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:28:16,9914,1235,506,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:28:16,9914,1235,506,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:29:17,9914,1277,548,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:29:18,9914,1277,548,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:29:18,9914,1277,548,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:29:18,9914,1277,548,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:29:18,9914,1277,548,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:29:19,9914,1277,548,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:29:19,9914,1277,548,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:29:19,9914,1277,548,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:29:19,9914,1277,548,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:29:20,9914,1277,548,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:29:20,9914,1277,548,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:30:21,9914,1184,455,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:30:21,9914,1184,455,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:30:22,9914,1184,455,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:30:22,9914,1184,455,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:30:22,9914,1184,455,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:30:22,9914,1184,455,
6,49.0,60.0,0.18,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:30:23,9914,1184,455,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:30:23,9914,1184,455,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:30:23,9914,1184,455,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:30:23,9914,1184,455,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:30:24,9914,1184,455,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:31:25,9914,1183,454,
1,32.0,32.0,0.0,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:31:25,9914,1183,454,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:31:25,9914,1183,454,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:31:25,9914,1183,454,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:31:26,9914,1183,454,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:31:26,9914,1183,454,
6,50.0,60.0,0.17,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:31:26,9914,1183,454,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:31:26,9914,1183,454,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:31:27,9914,1183,454,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:31:27,9914,1183,454,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:31:27,9914,1183,454,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:32:28,9914,1176,448,
1,33.0,37.0,0.11,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:32:29,9914,1176,448,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:32:29,9914,1176,448,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:32:29,9914,1176,448,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:32:29,9914,1176,448,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:32:30,9914,1176,448,
6,49.0,60.0,0.18,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:32:30,9914,1176,448,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:32:30,9914,1176,448,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:32:30,9914,1176,448,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:32:31,9914,1176,448,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:32:31,9914,1176,448,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:33:32,9914,1170,442,
1,33.0,37.0,0.11,1.0,Point 1,3.268444,-76.557621,2025-09-28 17:33:32,9914,1170,442,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:33:33,9914,1170,442,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:33:33,9914,1170,442,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:33:33,9914,1170,442,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:33:33,9914,1170,442,
6,50.0,59.0,0.15,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:33:34,9914,1170,442,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:33:34,9914,1170,442,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:33:34,9914,1170,442,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:33:34,9914,1170,442,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:33:35,9914,1170,442,
0,56.0,56.0,0.0,1.0,Start,3.260345,-76.558729,2025-09-28 17:34:36,9914,1205,476,
1,33.0,36.0,0.08,0.99523,Point 1,3.268444,-76.557621,2025-09-28 17:34:36,9914,1205,476,
2,60.0,60.0,0.0,1.0,Point 2,3.276224,-76.556545,2025-09-28 17:34:36,9914,1205,476,
3,29.0,29.0,0.0,1.0,Point 3,3.28264,-76.552424,2025-09-28 17:34:37,9914,1205,476,
4,60.0,60.0,0.0,1.0,Point 4,3.287327,-76.546453,2025-09-28 17:34:37,9914,1205,476,
5,60.0,60.0,0.0,1.0,Point 5,3.29501,-76.544032,2025-09-28 17:34:37,9914,1205,476,
6,50.0,59.0,0.15,1.0,Point 6,3.305124,-76.540869,2025-09-28 17:34:37,9914,1205,476,
7,60.0,60.0,0.0,1.0,Point 7,3.312282,-76.53844,2025-09-28 17:34:38,9914,1205,476,
8,60.0,60.0,0.0,1.0,Point 8,3.319838,-76.535761,2025-09-28 17:34:38,9914,1205,476,
9,60.0,60.0,0.0,1.0,Point 9,3.330306,-76.532753,2025-09-28 17:34:38,9914,1205,476,
10,60.0,60.0,0.0,1.0,End,3.342223,-76.530967,2025-09-28 17:34:38,9914,1205,476,
